Site ID,BT27/5037
Site Name,Lyell Ck II
Site ID,SampleID,Collection Date,Measurement,Value,Units
"BT27/5037","20242302","12-Mar 2024 13:10pm","Alkalinity, Total","192.0","g/m3 as CaCO3"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Bicarbonate","230.000","mg/L  at 25°C"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Calcium, Dissolved","42.000","mg/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Chloride","5.700","mg/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Conductivity","37.2","mS/m"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Conductivity (Field)","37.38","mS/m"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Difference in Ion Balance","4.300","%"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Dissolved Oxygen","-0.060","mg/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Dissolved Oxygen Saturation","-0.600","%"
"BT27/5037","20242302","12-Mar 2024 13:10pm","E. coli","<1","MPN/100mL"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Hardness, Total","151.000","g/m3 as CaCO3"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Magnesium, Dissolved","10.900","mg/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Nitrate Nitrogen","<0.050","mg/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Oxidation Reduction Potential","-133.800","mV"
"BT27/5037","20242302","12-Mar 2024 13:10pm","pH","7.5",""
"BT27/5037","20242302","12-Mar 2024 13:10pm","pH (Field)","6.94",""
"BT27/5037","20242302","12-Mar 2024 13:10pm","Potassium, Dissolved","1.200","mg/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Silica, Reactive","34.000","mg/L  as SiO2"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Sodium, Dissolved","30.000","mg/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Sulphate","<0.500","mg/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Sum of anions","4.000","meq/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Sum of cations","4.400","meq/L"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Total Coliforms","<1.00","number/100mL"
"BT27/5037","20242302","12-Mar 2024 13:10pm","Water Temperature (Field)","12.8","C"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Alkalinity, Total","188.0","g/m3 as CaCO3"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Bicarbonate","230.000","mg/L  at 25°C"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Calcium, Dissolved","41.000","mg/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Chloride","5.500","mg/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Conductivity","36.5","mS/m"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Conductivity (Field)","36.83","mS/m"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Difference in Ion Balance","3.500","%"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Dissolved Oxygen","-0.060","mg/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Dissolved Oxygen Saturation","-0.500","%"
"BT27/5037","20237431","11-Dec 2023 13:20pm","E. coli","<1","MPN/100mL"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Hardness, Total","147.000","g/m3 as CaCO3"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Magnesium, Dissolved","10.600","mg/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Nitrate Nitrogen","<0.050","mg/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Oxidation Reduction Potential","-103.900","mV"
"BT27/5037","20237431","11-Dec 2023 13:20pm","pH","7.6",""
"BT27/5037","20237431","11-Dec 2023 13:20pm","pH (Field)","6.92",""
"BT27/5037","20237431","11-Dec 2023 13:20pm","Potassium, Dissolved","1.180","mg/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Silica, Reactive","34.000","mg/L  as SiO2"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Sodium, Dissolved","28.000","mg/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Sulphate","<0.500","mg/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Sum of anions","3.900","meq/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Sum of cations","4.200","meq/L"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Total Coliforms","<1.00","number/100mL"
"BT27/5037","20237431","11-Dec 2023 13:20pm","Water Temperature (Field)","12.7","C"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Alkalinity, Total","190.0","g/m3 as CaCO3"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Aluminium, Dissolved","0.003","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Ammoniacal Nitrogen","0.330","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Arsenic, Dissolved","0.0560","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Bicarbonate","230.000","mg/L  at 25°C"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Calcium, Dissolved","39.000","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Chloride","6.000","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Conductivity","37.2","mS/m"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Conductivity (Field)","36.04","mS/m"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Difference in Ion Balance","0.820","%"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Dissolved Oxygen","-0.030","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Dissolved Oxygen Saturation","-0.300","%"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Dissolved Reactive Phosphorus","1.3800","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","E. coli","<1","MPN/100mL"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Hardness, Total","136.000","g/m3 as CaCO3"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Iron, Dissolved","1.490","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Magnesium, Dissolved","9.400","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Manganese, Dissolved","0.5900","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Nitrate Nitrogen","<0.020","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Nitrate-N Nitrite-N","<0.020","g/m3"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Nitrite Nitrogen","<0.015","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Oxidation Reduction Potential","-111.800","mV"
"BT27/5037","20235435","12-Sep 2023 13:30pm","pH","7.8",""
"BT27/5037","20235435","12-Sep 2023 13:30pm","pH (Field)","7.00",""
"BT27/5037","20235435","12-Sep 2023 13:30pm","Potassium, Dissolved","1.110","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Silica, Reactive","34.000","mg/L  as SiO2"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Sodium, Dissolved","27.000","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Sulphate","<0.500","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Sum of anions","4.100","meq/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Sum of cations","4.000","meq/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Total Coliforms","<1.00","number/100mL"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Total Dissolved Phosphorus","1.420","mg/L"
"BT27/5037","20235435","12-Sep 2023 13:30pm","Water Temperature (Field)","12.7","C"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Alkalinity, Total","190.0","g/m3 as CaCO3"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Bicarbonate","230.000","mg/L  at 25°C"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Calcium, Dissolved","37.000","mg/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Chloride","6.000","mg/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Conductivity","36.5","mS/m"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Conductivity (Field)","36.31","mS/m"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Difference in Ion Balance","0.180","%"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Dissolved Oxygen","-0.060","mg/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Dissolved Oxygen Saturation","-0.500","%"
"BT27/5037","20234048","13-Jun 2023 13:45pm","E. coli","<1","MPN/100mL"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Hardness, Total","134.000","g/m3 as CaCO3"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Magnesium, Dissolved","9.900","mg/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Nitrate Nitrogen","<0.050","mg/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Oxidation Reduction Potential","-108.200","mV"
"BT27/5037","20234048","13-Jun 2023 13:45pm","pH","7.7",""
"BT27/5037","20234048","13-Jun 2023 13:45pm","pH (Field)","7.06",""
"BT27/5037","20234048","13-Jun 2023 13:45pm","Potassium, Dissolved","1.130","mg/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Silica, Reactive","35.000","mg/L  as SiO2"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Sodium, Dissolved","28.000","mg/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Sulphate","<0.500","mg/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Sum of anions","4.000","meq/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Sum of cations","3.900","meq/L"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Total Coliforms","<1.00","number/100mL"
"BT27/5037","20234048","13-Jun 2023 13:45pm","Water Temperature (Field)","12.5","C"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Alkalinity, Total","190.0","g/m3 as CaCO3"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Bicarbonate","230.000","mg/L  at 25°C"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Calcium, Dissolved","39.000","mg/L"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Chloride","5.700","mg/L"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Conductivity","37.1","mS/m"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Conductivity (Field)","31.66","mS/m"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Difference in Ion Balance","0.310","%"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Dissolved Oxygen","-0.050","mg/L"
"BT27/5037","20232466","14-Mar 2023 12:40pm","Dissolved Oxygen Saturation","-0.500","%"
